date,ounces,id
2025-06-24,40.0,2
2025-06-26,30.0,4
2025-06-27,20.0,5
2025-06-28,32.0,6
2025-06-29,12.0,7
2025-06-30,0.0,8
2025-06-23,0.0,1
2025-06-25,0.0,3
2025-07-01,20.0,9
2025-07-02,12.0,10
2025-07-03,36.0,11
2025-07-04,33.0,12
2025-07-05,0.0,13
2025-07-06,40.0,14
2025-07-07,12.0,15
2025-07-08,0.0,16
2025-07-09,0.0,17
2025-07-10,0.0,18
2025-07-11,0.0,19
2025-07-12,0.0,20
2025-07-13,0.0,21
2025-07-15,0.0,23
2025-07-16,0.0,24
2025-07-17,0.0,25
2025-07-18,0.0,26
2025-07-20,0.0,28
2025-07-14,17.0,22
2025-07-19,20.0,27
2025-07-21,0.0,29
2025-07-22,0.0,30
2025-07-24,0.0,32
2025-07-23,25.0,31
2025-07-25,12.0,33
2025-07-26,0.0,34
2025-07-27,15.0,35
2025-07-28,24.0,36
2025-07-29,16.0,37
2025-07-30,12.0,38
2025-07-31,0.0,39
2025-08-01,0.0,40
2025-08-02,0.0,41
2025-08-03,24.0,42
2025-08-04,0.0,43
2025-08-05,0.0,44
2025-08-06,0.0,45
2025-08-07,20.0,46
2025-08-08,12.0,47
2025-08-09,0.0,48
2025-08-10,14.0,49
2025-08-11,0.0,50
2025-08-12,24.0,51
2025-08-13,0.0,52
2025-08-14,0.0,53
2025-08-15,0.0,54
2025-08-16,0.0,55
2025-08-17,10.0,56
2025-08-18,0.0,57
2025-08-20,0.0,59
2025-08-21,35.0,60
2025-08-19,40.0,58
2025-08-22,12.0,61
2025-08-23,12.0,62
2025-08-24,12.0,63
2025-08-25,0.0,64
2025-08-26,20.0,65
2025-08-27,20.0,66
2025-08-28,10.0,67
2025-08-29,25.0,68
2025-08-30,25.0,69
2025-08-31,25.0,70
2025-09-01,20.0,71
2025-09-02,12.0,72
2025-09-03,15.0,73
2025-09-04,12.0,74
2025-09-05,40.0,75
2025-09-06,0.0,76
2025-09-07,0.0,77
2025-09-08,0.0,78
2025-09-09,30.0,79
2025-09-10,15.0,80
2025-09-11,12.0,81
2025-09-12,0.0,82
2025-09-13,42.0,83
2025-09-14,12.0,84
2025-09-15,0.0,85
2025-09-16,30.0,86
2025-09-17,0.0,87
2025-09-18,0.0,88
2025-09-19,0.0,89
2025-09-20,12.0,90
2025-09-21,30.0,91
2025-09-22,0.0,92
2025-09-23,20.0,93
2025-09-24,0.0,94
2025-09-25,12.0,95
2025-09-26,12.0,96
2025-09-27,0.0,97
2025-09-28,20.0,98
2025-09-29,12.0,99
2025-09-30,0.0,100
2025-10-01,30.0,101
2025-10-02,12.0,102
2025-10-03,0.0,103
2025-10-04,0.0,104
2025-10-05,30.0,105
2025-10-06,0.0,106
2025-10-07,15.0,107
2025-10-08,0.0,108
2025-10-09,24.0,109
2025-10-10,12.0,110
2025-10-11,0.0,111
2025-10-12,0.0,112
2025-10-13,25.0,113
2025-10-14,25.0,114
2025-10-15,12.0,115
2025-10-16,30.0,116
2025-10-17,0.0,117
2025-10-18,25.0,118
2025-10-19,40.0,119
2025-10-20,0.0,120
2025-10-21,0.0,121
2025-10-22,25.0,122
2025-10-23,25.0,123
2025-10-24,12.0,124
2025-10-25,0.0,125
2025-10-26,12.0,126
2025-10-27,0.0,127
2025-10-28,0.0,128
2025-10-29,12.0,129
2025-10-30,0.0,130
2025-10-31,12.0,131
2025-11-01,0.0,132
2025-11-02,24.0,133
2025-11-03,20.0,134
2025-11-04,0.0,135
2025-11-05,0.0,136
2025-11-06,0.0,137
2025-11-07,24.0,138
2025-11-08,0.0,139
2025-11-09,20.0,140
2025-11-10,0.0,141
2025-11-11,12.0,142
2025-11-12,0.0,143
2025-11-13,20.0,144
2025-11-14,0.0,145
2025-11-15,12.0,146
2025-11-16,0.0,147
2025-11-17,12.0,148
2025-11-18,25.0,149
2025-11-19,0.0,150
2025-11-20,0.0,151
2025-11-21,0.0,152
2025-11-22,12.0,153
2025-11-23,12.0,154
2025-11-24,0.0,155
2025-11-25,0.0,156
2025-11-26,24.0,157
2025-11-27,0.0,158
2025-11-28,0.0,159
2025-11-29,0.0,160
2025-11-30,0.0,161
2025-12-01,0.0,162
2025-12-02,0.0,163
2025-12-03,0.0,164
2025-12-04,0.0,165
2025-12-05,0.0,166
2025-12-06,20.0,167
2025-12-07,0.0,168
2025-12-08,0.0,169
2025-12-09,0.0,170
2025-12-10,25.0,171
2025-12-11,0.0,172
2025-12-12,0.0,173
2025-12-13,24.0,174
2025-12-14,25.0,175
2025-12-15,0.0,176
2025-12-16,0.0,177
2025-12-21,0.0,182
2025-12-22,12.0,183
2025-12-23,0.0,184
2025-12-24,0.0,185
2025-12-25,15.0,186
2025-12-26,0.0,187
2025-12-27,0.0,188
2025-12-28,0.0,189
2025-12-29,0.0,190
2025-12-18,0.0,179
2025-12-19,12.0,180
2025-12-20,20.0,181
2025-12-17,12.0,178
2025-12-30,24.0,191
2025-12-31,0.0,192
2026-01-01,0.0,193
2026-01-02,12.0,194
2026-01-03,0.0,195
2026-01-04,0.0,196
2026-01-05,0.0,197
2026-01-06,0.0,198
2026-01-07,12.0,199
2026-01-08,0.0,200
2026-01-09,0.0,201
2026-01-10,40.0,202
2026-01-11,0.0,203
2026-01-12,0.0,204
2026-01-13,12.0,205
2026-01-14,0.0,206
2026-01-15,0.0,207
2026-01-16,30.0,208
2026-01-17,0.0,209
2026-01-18,45.0,210
2026-01-19,0.0,211
2026-01-20,0.0,212
2026-01-21,0.0,213
2026-01-22,0.0,214
2026-01-23,30.0,215
2026-01-24,0.0,216
2026-01-25,0.0,217
2026-01-26,20.0,218
2026-01-27,25.0,219
2026-01-28,0.0,220
2026-01-29,0.0,221
2026-01-30,0.0,222
2026-01-31,40.0,223
