2025-06-24,40,2
2025-06-26,30,4
2025-06-27,20,5
2025-06-28,32,6
2025-06-29,12,7
2025-06-30,0,8
2025-06-23,0,1
2025-06-25,0,3
2025-07-01,20,9
2025-07-02,12,10
2025-07-03,36,11
2025-07-04,33,12
2025-07-05,0,13
2025-07-06,40,14
2025-07-07,12,15
2025-07-08,0,16
2025-07-09,0,17
2025-07-10,0,18
2025-07-11,0,19
2025-07-12,0,20
2025-07-13,0,21
2025-07-15,0,23
2025-07-16,0,24
2025-07-17,0,25
2025-07-18,0,26
2025-07-20,0,28
2025-07-14,17,22
2025-07-19,20,27
2025-07-21,0,29
2025-07-22,0,30
2025-07-24,0,32
2025-07-23,25,31
2025-07-25,12,33
2025-07-26,0,34
2025-07-27,15,35
2025-07-28,24,36
2025-07-29,16,37
2025-07-30,12,38
2025-07-31,0,39
2025-08-01,0,40
2025-08-02,0,41
2025-08-03,24,42
2025-08-04,0,43
2025-08-05,0,44
2025-08-06,0,45
2025-08-07,20,46
2025-08-08,12,47
2025-08-09,0,48
2025-08-10,14,49
2025-08-11,0,50
2025-08-12,24,51
2025-08-13,0,52
2025-08-14,0,53
2025-08-15,0,54
2025-08-16,0,55
2025-08-17,10,56
2025-08-18,0,57
2025-08-20,0,59
2025-08-21,35,60
2025-08-19,40,58
2025-08-22,12,61
2025-08-23,12,62
2025-08-24,12,63
2025-08-25,0,64
2025-08-26,20,65
2025-08-27,20,66
2025-08-28,10,67
2025-08-29,25,68
2025-08-30,25,69
2025-08-31,25,70
2025-09-01,20,71
2025-09-02,12,72
2025-09-03,15,73
2025-09-04,12,74
2025-09-05,40,75
2025-09-06,0,76
2025-09-07,0,77
2025-09-08,0,78
2025-09-09,30,79
2025-09-10,15,80
2025-09-11,12,81
2025-09-12,0,82
2025-09-13,42,83
2025-09-14,12,84
2025-09-15,0,85
2025-09-16,30,86
2025-09-17,0,87
2025-09-18,0,88
2025-09-19,0,89
2025-09-20,12,90
2025-09-21,30,91
2025-09-22,0,92
2025-09-23,20,93
2025-09-24,0,94
2025-09-25,12,95
2025-09-26,12,96
2025-09-27,0,97
2025-09-28,20,98
2025-09-29,12,99
2025-09-30,0,100
2025-10-01,30,101
2025-10-02,12,102
2025-10-03,0,103
2025-10-04,0,104
2025-10-05,30,105
2025-10-06,0,106
2025-10-07,15,107
2025-10-08,0,108
2025-10-09,24,109
2025-10-10,12,110
2025-10-11,0,111
2025-10-12,0,112
2025-10-13,25,113
2025-10-14,25,114
2025-10-15,12,115
2025-10-16,30,116
2025-10-17,0,117
2025-10-18,25,118
2025-10-19,40,119
2025-10-20,0,120
2025-10-21,0,121
2025-10-22,25,122
2025-10-23,25,123
